t h j deltafi cs
3.636363636363636702e+06 1.272235186908313295e-03 9.857713245850558081e+00 -8.888815378876711859e-02 1.754462053686049183e-01
3.712121212121212389e+06 1.299700104173835778e-03 9.873018596459671059e+00 -8.884378507370745137e-02 1.758715865619778773e-01
3.787878787878788076e+06 1.327207699285163148e-03 9.888408115530889830e+00 -8.879919474600847518e-02 1.762998450557854702e-01
3.863636363636363763e+06 1.354758212264183621e-03 9.903882594661325811e+00 -8.875438077749690791e-02 1.767310123380090581e-01
3.939393939393939450e+06 1.382351885638923722e-03 9.919442836108274264e+00 -8.870934111299355607e-02 1.771651203744447345e-01
4.015151515151515137e+06 1.409988964443551103e-03 9.935089652955806372e+00 -8.866407366990169958e-02 1.776022016174037821e-01
4.090909090909090824e+06 1.437669696218371075e-03 9.950823869284519674e+00 -8.861857633778780219e-02 1.780422890146003689e-01
4.166666666666666977e+06 1.465394331009829861e-03 9.966646320344219490e+00 -8.857284697795454742e-02 1.784854160182668126e-01
4.242424242424242198e+06 1.493163121370512207e-03 9.982557852732337977e+00 -8.852688342300291113e-02 1.789316165942665404e-01
4.318181818181818351e+06 1.520976322359142690e-03 9.998559324569267659e+00 -8.848068347639342912e-02 1.793809252319490954e-01
4.393939393939394504e+06 1.548834191540586144e-03 1.001465160568647050e+01 -8.843424491198813298e-02 1.798333769534470050e-01
4.469696969696969725e+06 1.576736988985845064e-03 1.003083557781038948e+01 -8.838756547359273574e-02 1.802890073238326285e-01
4.545454545454545878e+06 1.604684977272062638e-03 1.004711213475373022e+01 -8.834064287448556430e-02 1.807478524611845216e-01
4.621212121212121099e+06 1.632678421482521881e-03 1.006348218260960081e+01 -8.829347479693835932e-02 1.812099490469571972e-01
4.696969696969697252e+06 1.660717589206644335e-03 1.007994663995054552e+01 -8.824605889172643103e-02 1.816753343364935214e-01
4.772727272727272473e+06 1.688802750539990932e-03 1.009650643802631009e+01 -8.819839277763533159e-02 1.821440461701975266e-01
4.848484848484848626e+06 1.716934178084263737e-03 1.011316252097599566e+01 -8.815047404094555894e-02 1.826161229841093692e-01
4.924242424242424779e+06 1.745112146947302902e-03 1.012991584603316575e+01 -8.810230023492018891e-02 1.830916038216361119e-01
5.000000000000000000e+06 1.773336934743087109e-03 1.014676738374185838e+01 -8.805386887927454942e-02 1.835705283449956815e-01
5.075757575757576153e+06 1.801608821591736600e-03 1.016371811817471738e+01 -8.800517745963776228e-02 1.840529368471031657e-01
5.151515151515151374e+06 1.829928090119509708e-03 1.018076904715575104e+01 -8.795622342700329388e-02 1.845388702637072165e-01
5.227272727272727527e+06 1.858295025458805028e-03 1.019792118248764901e+01 -8.790700419716858394e-02 1.850283701858076446e-01
5.303030303030302748e+06 1.886709915248160115e-03 1.021517555018359857e+01 -8.785751715016321128e-02 1.855214788723605901e-01
5.378787878787878901e+06 1.915173049632252350e-03 1.023253319070386702e+01 -8.780775962966577697e-02 1.860182392632803716e-01
5.454545454545455053e+06 1.943684721261897640e-03 1.024999515919715520e+01 -8.775772894240885247e-02 1.865186949927451210e-01
5.530303030303030275e+06 1.972245225294052585e-03 1.026756252574692319e+01 -8.770742235757182648e-02 1.870228904028155559e-01
5.606060606060606427e+06 2.000854859391813616e-03 1.028523637562268078e+01 -8.765683710616151147e-02 1.875308705573743850e-01
5.681818181818181649e+06 2.029513923724414384e-03 1.030301780953654145e+01 -8.760597038037995499e-02 1.880426812563960881e-01
5.757575757575757802e+06 2.058222720967230104e-03 1.032090794390499511e+01 -8.755481933297937225e-02 1.885583690505562571e-01
5.833333333333333954e+06 2.086981556301775384e-03 1.033890791111613794e+01 -8.750338107660368681e-02 1.890779812561883821e-01
5.909090909090909176e+06 2.115790737415702491e-03 1.035701885980244086e+01 -8.745165268311659579e-02 1.896015659705993506e-01
5.984848484848485328e+06 2.144650574502804385e-03 1.037524195511922542e+01 -8.739963118291557698e-02 1.901291720877543445e-01
6.060606060606060550e+06 2.173561380263015156e-03 1.039357837902895554e+01 -8.734731356423164339e-02 1.906608493143386318e-01
